104.Residential address,106.Occupation,202.Age,203.Gender,204.Religion,205. Education qualification for the participant,206.How many family members are there at home?,207.Total income (monthly),208.Place of birth,209. Poverty Status?,301.Are you aware of the term dental fluorosis?,302.Do you know that treatment is available for fluoride content in teeth?,303.Cause of fluoride appearance?,304.Have you ever received information about ill effects about excessive fluoride in water from relatives?,305.Have you received information about ill effects about excessive fluoride in water from dental surgeon?,306.Have you received information about ill effects about excessive fluoride in water from government?,307.Have you received information about ill effects about excessive fluoride in water from school teachers?,308.Have you heard fluoride can cause cancer?,309.Do you know that there are some health risks associated with fluoride?,310.Does fluoride damage your enamel layer of your teeth?,311.Does smoking cause dental fluorosis?,312. Will dental fluorosis happen in only one region or whole teeth?,313.Can dental fluorosis be treated by vigorous brushing?,314.Do you have foul smell inside mouth due to dental fluorosis?,401.Have you ever consulted any dentist regarding the appearance of your teeth?,402. Are you willing to get the treatment done for the appearance of your teeth?,403. Should Govt. step up defluoridation plan for the prevention of Dental fluorosis?,404. Should Govt. provide rebate in RO's for the prevention of Dental fluorosis?,405. Should Govt. make policy for the prevention of Dental fluorosis?,406. Should Govt. launch mass public health campaign for the prevention of Dental fluorosis?,407. Is the appearance of your teeth appealing?,408. Are you embarrassed by the appearance of your teeth?,409. Do you know how much has the appearance of your teeth worried you?,410. How much has the appearance of your teeth hindered you from smiling freely?,411. Does the appearance of your teeth prevent you from attending social gatherings?,412. When do you start to observe Dental fluorosis in your mouth?,501. What is the frequency of brushing your teeth?,502. What is the time spent in cleaning your teeth's?,503. What are the tools for cleaning your teeth?,504. Do you use tooth paste?,505. What is the frequency of soft drink intake?,506. What is the frequency of sweet food intake?,507. Do you use any fluoridated toothpaste?,508. What is the frequency for visiting the dentist?,509. What is the reason for not visiting the dentist?,510. What is the way to reduce Dental fluorosis?
Bedasasana,Farmer,56,Male,Hindu,Secondary,6,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,34,Female,Hindu,Secondary,6,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,32,Female,Hindu,Secondary,6,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Farmer,43,Male,Hindu,Secondary,4,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Farmer,42,Male,Hindu,Secondary,4,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,32,Female,Hindu,Secondary,4,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,34,Female,Hindu,Secondary,4,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Businessman,41,Male,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Labour,45,Male,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Farmer,52,Male,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Student,20,Male,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Bedasasana,Housewife,48,Female,Hindu,Secondary,5,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,56,Male,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,51,Male,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,45,Male,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,43,Male,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,38,Female,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,36,Female,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,32,Female,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,31,Female,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,29,Female,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,27,Female,Hindu,Secondary,9,20000,Study place area,Pucca,Yes,Yes,Poor oral hygiene,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Teacher,43,Male,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,37,Male,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,39,Male,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,29,Female,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,40,Female,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,42,Female,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,34,Female,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Water quality,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,43,Male,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,NO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Teacher,32,Male,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,37,Male,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,43,Male,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,31,Female,Hindu,Secondary,12,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Teacher,42,Male,Hindu,Secondary,2,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,38,Female,Hindu,Secondary,2,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,32,Male,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,38,Female,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Teacher,33,Male,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Businessman,42,Male,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Water quality,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,53,Male,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Water quality,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Teacher,31,Female,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,34,Female,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Water quality,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,23,Female,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Water quality,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,37,Male,Hindu,Secondary,9,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,46,Male,Hindu,Secondary,4,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,32,Male,Hindu,Secondary,4,"20,000",Study place area,Pucca,Yes,No,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,28,Female,Hindu,Secondary,4,"20,000",Study place area,Pucca,Yes,No,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,39,Female,Hindu,Secondary,4,"20,000",Study place area,Pucca,Yes,No,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,35,Male,Hindu,Secondary,4,"20,000",Study place area,Pucca,Yes,No,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,40,Male,Hindu,Secondary,4,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,23,Female,Hindu,Secondary,4,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Housewife,30,Female,Hindu,Secondary,4,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Farmer,45,Male,Hindu,Secondary,5,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
Basala,Teacher,47,Male,Hindu,Secondary,5,"20,000",Study place area,Pucca,Yes,Yes,Poor oral hygiene,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One region,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,After drinking the water of the area,Once a day,Less than 2 minutes,Tooth brush with tooth paste,Yes,One time per week,One time a day,Yes,Whenever needed,Due to poor financial conditions,Stop drinking fluoridated water
